EM26996,Port 1,Port 1,Port 2,Port 3
26728 records,VP-3 Humidity/Temp,VP-3 Humidity/Temp,PYR Solar Radiation,ECRN-100 Precipitation
Measurement Time,RH,C Temp,Solar W/m_,mm Precip
23.07.22 13:30,0.854,3.7,560.3,0
23.07.22 14:00,0.855,4.1,701.3,0
23.07.22 14:30,0.831,4.5,694,0
23.07.22 15:00,0.82,5.1,761.7,0
23.07.22 15:30,0.803,5.4,730.6,0
23.07.22 16:00,0.82,4.9,761.7,0
23.07.22 16:30,0.825,4.6,725.1,0
23.07.22 17:00,0.797,5.7,730.6,0
23.07.22 17:30,0.77,6.4,686.6,0
23.07.22 18:00,0.759,7,646.4,0
23.07.22 18:30,0.713,8.1,604.2,0
23.07.22 19:00,0.714,7.5,410.2,0
23.07.22 19:30,0.719,7.6,432.1,0
23.07.22 20:00,0.699,8.4,465.1,0
23.07.22 20:30,0.724,7.1,373.5,0
23.07.22 21:00,0.704,7.7,307.6,0
23.07.22 21:30,0.695,7.7,238,0
23.07.22 22:00,0.714,6.9,183.1,0
23.07.22 22:30,0.729,6.8,120.8,0
23.07.22 23:00,0.781,5.6,27.5,0
23.07.22 23:30,0.808,4.9,11,0
24.07.22 00:00,0.826,4.8,1.8,0
24.07.22 00:30,0.831,4.7,0,0
24.07.22 01:00,0.849,4.2,0,0
24.07.22 01:30,0.861,4.2,0,0
24.07.22 02:00,0.855,4.1,0,0
24.07.22 02:30,0.879,3.7,0,0
24.07.22 03:00,0.861,3.8,0,0
24.07.22 03:30,0.866,3.3,0,0
24.07.22 04:00,0.878,3.1,0,0
24.07.22 04:30,0.896,2.6,0,0
24.07.22 05:00,0.877,2.9,0,0
24.07.22 05:30,0.896,2.6,0,0
24.07.22 06:00,0.891,3.1,0,0
24.07.22 06:30,0.884,3,0,0
24.07.22 07:00,0.879,3.3,0,0
24.07.22 07:30,0.877,2.9,3.7,0
24.07.22 08:00,0.884,3,20.1,0
24.07.22 08:30,0.879,3.3,36.6,0
24.07.22 09:00,0.866,3.5,53.1,0
24.07.22 09:30,0.867,3.7,84.2,0
24.07.22 10:00,0.872,3.4,102.5,0
24.07.22 10:30,0.885,4,142.8,0
24.07.22 11:00,0.891,4.1,205.1,0
24.07.22 11:30,0.873,4.6,302.1,0
24.07.22 12:00,0.843,4.9,413.8,0
24.07.22 12:30,0.843,4.9,509,0
24.07.22 13:00,0.843,4.5,587.8,0
24.07.22 13:30,0.861,4.4,679.3,0
24.07.22 14:00,0.803,5.4,712.3,0
24.07.22 14:30,0.786,5.3,730.6,0
24.07.22 15:00,0.765,6.1,739.7,0
24.07.22 15:30,0.739,6.6,741.6,0
24.07.22 16:00,0.734,6.5,739.7,0
24.07.22 16:30,0.724,6.9,728.8,0
24.07.22 17:00,0.704,7.5,706.8,0
24.07.22 17:30,0.69,8,675.7,0
24.07.22 18:00,0.685,7.7,639,0
24.07.22 18:30,0.685,7.9,593.3,0
24.07.22 19:00,0.676,7.9,540.2,0
24.07.22 19:30,0.667,8.5,487.1,0
24.07.22 20:00,0.645,8.8,426.6,0
24.07.22 20:30,0.641,9.1,364.4,0
24.07.22 21:00,0.649,8.3,302.1,0
24.07.22 21:30,0.644,8.2,238,0
24.07.22 22:00,0.653,8.2,177.6,0
24.07.22 22:30,0.657,7.9,97,0
24.07.22 23:00,0.733,5.9,16.5,0
24.07.22 23:30,0.743,5.9,9.2,0
25.07.22 00:00,0.742,5.5,0,0
25.07.22 00:30,0.737,5.6,0,0
25.07.22 01:00,0.767,4.8,0,0
25.07.22 01:30,0.779,4.8,0,0
25.07.22 02:00,0.784,4.5,0,0
25.07.22 02:30,0.812,4.2,0,0
25.07.22 03:00,0.796,4.5,0,0
25.07.22 03:30,0.791,4.8,0,0
25.07.22 04:00,0.803,5.2,0,0
25.07.22 04:30,0.797,4.9,0,0
25.07.22 05:00,0.796,4.5,0,0
25.07.22 05:30,0.79,3.5,0,0
25.07.22 06:00,0.84,3.3,0,0
25.07.22 06:30,0.806,4.1,0,0
25.07.22 07:00,0.839,3.1,1.8,0
25.07.22 07:30,0.822,3.6,18.3,0
25.07.22 08:00,0.836,4,36.6,0
25.07.22 08:30,0.806,4.1,54.9,0
25.07.22 09:00,0.789,4.4,71.4,0
25.07.22 09:30,0.785,4.7,80.6,0
25.07.22 10:00,0.779,3.7,108,0
25.07.22 10:30,0.761,4.7,164.8,0
25.07.22 11:00,0.703,6.5,410.2,0
25.07.22 11:30,0.702,6.3,527.3,0
25.07.22 12:00,0.708,6.4,600.6,0
25.07.22 12:30,0.712,6.1,424.8,0
25.07.22 13:00,0.695,7.3,611.6,0
25.07.22 13:30,0.709,7,591.4,0
