z6-21507,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 7,Port 7,Port 8,Port 8
Records: 772,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp,W/m² Solar Radiation,mm Precipitation, Lightning Activity,km Lightning Distance,° Wind Direction,m/s Wind Speed,m/s Gust Speed,°C Air Temperature,RH Relative Humidity,kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level,mm/h Max Precip Rate,°C RH Sensor Temp,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°C Logger Temperature
15/08/2023 12:30,547.5,0.000,0,0,256,1.65,2.78,5.6,0.801,100.59,-1.6,0.6,0.0,11.4,100,8536,100.64,9.7
15/08/2023 13:00,598.8,0.000,0,0,261,1.92,2.75,5.6,0.803,100.60,-1.6,0.6,0.0,11.5,100,8565,100.64,10.2
12/07/2024 13:00,533.5,0.000,0,0,233,1.08,2.11,7.2,0.796,94.16,1.2,0.6,0.0,11.6,100,7969,93.77,13.5
12/07/2024 13:30,581.9,0.000,0,0,244,1.48,3.56,7.6,0.784,94.17,1.3,-0.6,0.0,12.4,100,7988,94.12,15.6
12/07/2024 14:00,498.0,0.000,0,0,233,2.00,5.11,7.4,0.776,94.21,1.3,-0.6,0.0,11.7,100,8004,94.23,14.4
12/07/2024 14:30,440.4,0.000,0,0,355,1.78,5.12,6.9,0.802,94.24,1.3,-0.6,0.0,10.4,100,8014,94.25,12.5
12/07/2024 15:00,233.7,0.000,0,0,8,1.72,4.52,6.3,0.822,94.25,1.3,-0.4,0.0,9.0,100,8014,94.25,10.6
12/07/2024 15:30,183.1,0.000,0,0,258,1.85,4.76,6.1,0.828,94.26,1.3,-0.6,0.0,7.7,100,8014,94.26,9.1
12/07/2024 16:00,157.4,0.000,0,0,16,1.42,3.26,5.8,0.850,94.25,1.3,-0.6,0.0,7.3,100,8014,94.25,8.3
12/07/2024 16:30,132.4,0.000,0,0,11,1.19,2.51,5.4,0.875,94.25,1.4,-0.5,0.0,6.8,100,8017,94.24,7.6
12/07/2024 17:00,106.7,0.153,0,0,7,1.12,2.93,5.4,0.906,94.25,1.3,-0.6,3.1,6.5,100,8016,94.24,7.1
12/07/2024 17:30,83.6,0.528,0,0,7,1.00,2.19,5.2,0.944,94.23,1.4,-0.6,5.1,6.2,100,8010,94.22,6.5
12/07/2024 18:00,53.5,0.562,0,0,9,1.26,2.32,4.9,0.952,94.21,1.3,-0.5,4.1,5.6,100,8010,94.20,5.8
12/07/2024 18:30,59.8,0.851,0,0,10,0.89,1.81,4.9,0.955,94.18,1.4,-0.6,4.1,5.4,100,8010,94.18,5.5
12/07/2024 19:00,80.6,0.698,0,0,7,1.37,3.13,4.9,0.968,94.15,1.4,-0.6,4.1,5.5,100,8010,94.15,5.5
12/07/2024 19:30,116.6,0.153,0,0,30,1.50,3.21,5.1,0.983,94.08,1.3,-0.6,2.0,5.7,100,8013,94.08,5.6
12/07/2024 20:00,93.9,0.068,0,0,20,2.73,4.89,4.9,0.989,94.04,1.4,-0.8,1.0,5.7,100,8008,94.04,5.6
12/07/2024 20:30,66.1,0.119,0,0,21,2.50,5.22,5.0,0.979,94.02,1.4,-0.9,2.0,5.4,100,8010,94.02,5.4
12/07/2024 21:00,46.4,0.136,0,0,24,1.39,3.06,5.3,0.947,93.98,1.3,-0.6,2.0,5.5,100,8010,93.98,5.3
12/07/2024 21:30,36.4,0.238,0,0,23,1.45,3.67,5.6,0.930,93.96,1.3,-0.5,3.1,5.8,100,8008,93.95,5.4
12/07/2024 22:00,28.6,0.187,0,0,36,0.75,2.29,5.4,0.958,93.92,1.3,-0.6,4.1,5.7,100,8007,93.92,5.4
12/07/2024 22:30,18.4,0.204,0,0,11,0.95,2.24,5.3,0.978,93.88,1.4,-0.7,2.0,5.6,100,8006,93.88,5.4
12/07/2024 23:00,9.3,0.170,0,0,19,1.06,2.38,5.1,0.980,93.83,1.4,-0.6,3.1,5.4,100,8004,93.83,5.2
12/07/2024 23:30,7.9,0.340,0,0,29,0.80,1.93,5.1,0.984,93.82,1.4,-0.6,4.1,5.4,100,8006,93.81,5.2
13/07/2024 00:00,2.3,0.306,0,0,21,0.97,2.49,4.8,0.989,93.80,1.4,-0.6,6.1,5.1,100,8002,93.80,4.9
13/07/2024 00:30,0.8,0.306,0,0,16,0.79,1.62,4.8,0.987,93.78,1.4,-0.6,9.2,5.0,100,7967,93.78,5.0
13/07/2024 01:00,0.0,0.102,0,0,51,0.90,2.16,5.2,0.973,93.74,1.4,-0.6,4.1,5.1,100,7971,93.74,5.2
13/07/2024 01:30,0.0,0.051,0,0,27,1.01,2.25,5.2,0.988,93.72,1.4,-0.6,1.0,5.3,100,7975,93.72,5.1
13/07/2024 02:00,0.0,0.085,0,0,194,1.28,2.25,5.1,0.996,93.70,1.4,-0.7,2.0,5.2,100,7975,93.71,5.0
13/07/2024 02:30,0.0,0.000,0,0,187,1.09,1.76,5.1,0.993,93.69,1.4,-0.6,0.0,5.2,100,7972,93.69,5.0
13/07/2024 03:00,0.0,0.000,0,0,193,0.83,2.14,5.1,0.993,93.67,1.4,-0.7,0.0,5.2,100,7975,93.67,4.9
13/07/2024 03:30,0.0,0.051,0,0,195,0.65,1.49,5.0,0.997,93.68,1.4,-0.6,2.0,5.1,100,7973,93.68,4.9
13/07/2024 04:00,0.0,0.051,0,0,232,1.15,2.50,4.9,0.996,93.66,1.5,-0.6,1.0,5.0,100,7969,93.67,4.8
13/07/2024 04:30,0.0,0.017,0,0,243,1.12,2.26,4.8,0.998,93.62,1.4,-0.6,1.0,4.9,100,7972,93.62,4.7
13/07/2024 05:00,0.0,0.000,0,0,234,1.52,3.17,4.7,1.000,93.62,1.5,-0.5,0.0,4.8,100,7972,93.62,4.6
13/07/2024 05:30,0.0,0.034,0,0,216,2.15,3.71,4.5,0.994,93.63,1.5,-0.8,1.0,4.6,100,7972,93.64,4.4
13/07/2024 06:00,0.8,0.017,0,0,206,2.29,4.78,4.5,0.996,93.64,1.3,-0.8,1.0,4.6,100,7968,93.64,4.3
13/07/2024 06:30,5.0,0.000,0,0,204,3.33,6.16,4.4,0.997,93.65,1.3,-0.7,0.0,4.5,100,7969,93.66,4.2
13/07/2024 07:00,9.2,0.000,0,0,216,2.90,5.12,4.3,0.998,93.69,1.6,-0.3,0.0,4.4,100,7966,93.70,4.1
13/07/2024 07:30,28.0,0.000,0,0,208,2.31,5.00,4.3,0.999,93.68,1.4,-0.7,0.0,4.4,100,7966,93.68,4.0
13/07/2024 08:00,48.1,0.000,0,0,213,2.79,5.57,4.0,1.000,93.69,1.2,-0.2,0.0,4.4,100,7965,93.70,4.0
13/07/2024 08:30,69.9,0.000,0,0,205,3.07,6.38,3.8,1.000,93.71,1.3,-0.8,0.0,4.3,100,7966,93.72,3.9
13/07/2024 09:00,60.1,0.034,0,0,220,3.24,6.70,3.9,0.998,93.74,1.6,-0.5,1.0,4.2,100,7965,93.75,3.9
13/07/2024 09:30,88.1,0.017,0,0,227,2.49,4.77,3.7,1.000,93.75,1.4,-0.6,1.0,4.1,100,7969,93.75,3.9
13/07/2024 10:00,141.4,0.017,0,0,237,2.19,4.46,3.6,1.000,93.74,1.1,-0.6,1.0,4.3,100,7971,93.75,4.0
13/07/2024 10:30,199.0,0.000,0,0,222,2.15,5.59,3.6,1.000,93.73,1.5,-0.6,0.0,4.6,100,7976,93.74,4.3
13/07/2024 11:00,219.2,0.017,0,0,234,2.16,5.76,3.6,0.998,93.73,1.4,-0.6,1.0,4.8,100,7984,93.74,4.6
13/07/2024 11:30,242.7,0.068,0,0,232,2.46,6.21,3.6,0.996,93.74,1.5,-0.5,1.0,4.8,100,7992,93.76,4.7
13/07/2024 12:00,210.0,0.000,0,0,220,2.66,5.86,3.4,0.999,93.76,1.1,-0.4,0.0,4.9,100,7997,93.78,4.8
13/07/2024 12:30,318.6,0.000,0,0,205,4.15,8.49,3.6,0.997,93.76,1.5,-0.5,0.0,5.0,100,8017,93.78,4.7
13/07/2024 13:00,350.0,0.017,0,0,207,4.72,7.52,3.8,0.997,93.77,1.3,-0.3,1.0,5.8,100,8030,93.79,5.2
13/07/2024 13:30,422.0,0.000,0,0,208,4.62,7.22,4.1,0.984,93.78,1.4,-0.5,0.0,6.2,100,8053,93.80,5.8
13/07/2024 14:00,408.4,0.000,0,0,204,5.01,7.46,4.3,0.930,93.80,1.9,-0.4,0.0,6.4,100,8067,93.82,6.3
13/07/2024 14:30,417.1,0.000,0,0,215,3.30,6.20,5.0,0.892,93.83,1.3,-0.7,0.0,7.1,100,8075,93.84,7.2
13/07/2024 15:00,359.4,0.000,0,0,214,3.56,5.90,5.1,0.874,93.84,1.4,-0.7,0.0,7.0,100,8082,93.85,7.2
13/07/2024 15:30,323.0,0.000,0,0,223,3.10,5.38,4.9,0.908,93.84,1.5,-0.4,0.0,6.6,100,8086,93.86,7.0
13/07/2024 16:00,314.4,0.017,0,0,232,2.42,4.71,4.6,0.947,93.85,1.3,-0.9,1.0,6.3,100,8091,93.86,6.7
13/07/2024 16:30,348.2,0.000,0,0,231,1.78,4.42,4.6,0.984,93.86,1.4,-0.8,0.0,6.4,100,8099,93.87,6.8
13/07/2024 17:00,266.7,0.000,0,0,305,1.07,2.42,4.7,0.994,93.87,1.5,-0.5,0.0,6.7,100,8098,93.88,7.0
13/07/2024 17:30,217.0,0.000,0,0,229,2.44,5.57,4.2,0.990,93.88,1.2,-0.8,0.0,6.1,100,8098,93.89,6.5
13/07/2024 18:00,236.5,0.000,0,0,222,2.31,4.43,4.1,0.988,93.87,1.2,-0.6,0.0,5.5,100,8102,93.88,5.9
13/07/2024 18:30,208.0,0.000,0,0,237,1.65,4.87,4.1,0.996,93.88,1.2,-0.7,0.0,5.6,100,8101,93.89,5.9
13/07/2024 19:00,238.1,0.000,0,0,343,1.19,3.76,4.0,0.995,93.89,1.3,-0.6,0.0,5.8,100,8106,93.90,6.0
13/07/2024 19:30,137.9,0.000,0,0,332,1.28,3.14,4.0,0.990,93.90,1.5,-0.9,0.0,5.5,100,8102,93.90,5.7
13/07/2024 20:00,144.1,0.017,0,0,193,1.71,3.31,3.6,0.985,93.90,1.5,-0.6,1.0,4.8,100,8104,93.90,5.0
13/07/2024 20:30,169.5,0.017,0,0,194,1.59,3.04,3.7,0.987,93.91,1.4,-0.8,1.0,4.7,100,8107,93.92,4.9
13/07/2024 21:00,142.8,0.017,0,0,213,1.74,3.40,3.9,0.988,93.92,1.5,-0.6,1.0,4.9,100,8106,93.92,5.0
13/07/2024 21:30,99.7,0.102,0,0,197,1.95,3.35,3.7,0.986,93.92,1.5,-0.7,1.0,4.5,100,8105,93.93,4.6
13/07/2024 22:00,96.4,0.034,0,0,202,1.72,3.98,3.6,0.990,93.93,1.3,-0.5,1.0,4.3,100,8103,93.94,4.4
13/07/2024 22:30,74.8,0.000,0,0,208,2.29,4.31,3.4,0.997,93.94,1.4,-0.5,0.0,4.0,100,8101,93.94,4.0
13/07/2024 23:00,53.2,0.000,0,0,215,1.55,3.69,3.4,0.999,93.95,1.5,-0.5,0.0,3.9,100,8098,93.96,3.8
13/07/2024 23:30,27.1,0.000,0,0,220,1.10,2.20,3.4,1.000,93.97,1.4,-0.6,0.0,3.8,100,8099,93.97,3.7
14/07/2024 00:00,11.5,0.000,0,0,237,0.69,1.80,3.3,0.995,93.97,1.4,-0.6,0.0,3.6,100,8096,93.97,3.4
14/07/2024 00:30,4.0,0.000,0,0,253,0.86,2.32,3.3,0.991,93.98,1.4,-0.6,0.0,3.5,100,8085,93.98,3.3
14/07/2024 01:00,1.0,0.000,0,0,241,0.78,1.95,3.2,0.986,93.97,1.5,-0.7,0.0,3.2,100,8057,93.98,3.1
14/07/2024 01:30,0.0,0.000,0,0,233,1.21,2.67,2.9,0.979,93.97,1.4,-0.5,0.0,2.8,100,8061,93.97,2.4
14/07/2024 02:00,0.0,0.000,0,0,10,0.65,2.26,2.9,0.973,93.97,1.4,-0.5,0.0,2.6,100,8063,93.97,2.1
14/07/2024 02:30,0.0,0.000,0,0,27,0.67,1.46,3.0,0.981,93.98,1.4,-0.6,0.0,2.8,100,8064,93.98,2.3
14/07/2024 03:00,0.0,0.000,0,0,223,0.75,2.09,2.8,0.992,93.98,1.4,-0.6,0.0,2.8,100,8061,93.98,2.2
14/07/2024 03:30,0.0,0.000,0,0,228,0.98,2.27,2.7,0.984,93.98,1.4,-0.6,0.0,2.5,100,8060,93.98,1.9
14/07/2024 04:00,0.0,0.000,0,0,230,0.81,1.85,2.6,0.982,93.97,1.4,-0.6,0.0,2.3,100,8059,93.97,1.6
14/07/2024 04:30,0.0,0.000,0,0,205,0.78,1.63,2.5,0.981,93.95,1.4,-0.6,0.0,2.3,100,8062,93.95,1.6
