index_time,index_volume,V_events,time,calv_event_3414_x,calv_event_3414_y,calv_event_4326_x,calv_event_4326_y
0,47,-23953.7437379444,2024-07-12 00:23:01,-43462.5670684078,-3171544.04624128,-45.7851272930406,61.3104760021117
1,15,-71962.4175333962,2024-07-12 02:13:01,-43412.8792163973,-3171577.06145795,-45.7842216589847,61.3101951930028
2,16,-68859.379278111,2024-07-12 03:13:02,-43388.035290392,-3171585.31526212,-45.7837708883234,61.3101264657092
3,26,-48667.2680621191,2024-07-12 03:43:01,-43388.035290392,-3171601.82287046,-45.7837668094479,61.3099831063022
4,59,-10288.6845173287,2024-07-12 04:23:01,-43406.6682348959,-3171601.82287046,-45.7841033552362,61.3099808921476
5,37,-34358.7106482862,2024-07-12 04:53:01,-43458.4264140736,-3171539.91933919,-45.7850535251723,61.3105123347806
6,51,-19725.1233762419,2024-07-12 05:43:01,-43377.6836545565,-3171599.75941942,-45.7835803492777,61.3100022558993
7,42,-27764.1455351161,2024-07-12 06:43:01,-43394.2462718933,-3171603.8863215,-45.7838784814539,61.3099644484371
8,65,-7415.70245115786,2024-07-12 07:43:02,-43414.9495435644,-3171558.49039857,-45.7842636449027,61.3103562263569
9,33,-37725.4087952611,2024-07-12 07:53:02,-43456.3560869064,-3171544.04624128,-45.7850151091285,61.3104767412344
10,20,-60352.9942115959,2024-07-12 08:53:02,-43425.3011793999,-3171566.74420274,-45.7844485760733,61.3102833158333
11,75,-6008.38057254577,2024-07-12 10:53:01,-43015.3764003132,-3171605.94977255,-45.7770348713979,61.3099913498949
12,45,-25502.775194616,2024-07-12 11:03:01,-43419.0901978986,-3171550.2365944,-45.7843404748117,61.3104274138898
13,14,-74019.1261721546,2024-07-12 12:53:02,-43423.2308522328,-3171554.36349649,-45.784414243393,61.3103910816757
14,53,-19089.5936228882,2024-07-12 13:13:02,-43700.6546926248,-3171372.77980476,-45.7894702985549,61.3119349485643
15,4,-150615.566042626,2024-07-12 13:23:01,-43412.8792163973,-3171447.06404228,-45.7842538001664,61.3113241516351
16,56,-15160.5862418996,2024-07-12 13:23:01,-43723.4282914629,-3171362.46254955,-45.7898842302334,61.3120218227757
17,29,-43722.5497511659,2024-07-12 13:53:02,-43655.1074949485,-3171368.65290267,-45.7886485998152,61.3119762364654
18,43,-26072.5702718874,2024-07-12 14:13:01,-43414.9495435644,-3171438.81023811,-45.7842932368577,61.3113955856082
19,9,-86877.4667402635,2024-07-12 15:23:01,-43383.8946360578,-3171467.69855271,-45.783725160418,61.3111483959717
20,23,-55070.2880073692,2024-07-12 16:03:01,-43390.1056175591,-3171455.31784645,-45.7838404066572,61.3112551781459
21,34,-37218.8621210177,2024-07-12 18:13:02,-44889.0224865427,-3171170.56160261,-45.8109875270578,61.3135469642071
22,60,-8374.93665720206,2024-07-12 18:23:01,-43708.9360012932,-3171288.17831202,-45.7896409471421,61.312668680485
23,36,-34387.4737063727,2024-07-12 20:03:02,-43344.5584198828,-3171515.15792668,-45.7830029288511,61.3107409069977
24,63,-7871.41008692953,2024-07-12 20:03:02,-43640.6152047788,-3171424.36608082,-45.7883729752755,61.3114941276979
25,24,-53361.9096878434,2024-07-12 22:53:01,-43321.7848210447,-3171572.93455587,-45.7825773289275,61.3102418502548
26,67,-7204.1108823063,2024-07-14 14:23:01,-42017.4787057688,-3171740.0740903,-45.7589787699799,61.3089427241238
27,69,-6933.39136501147,2024-07-14 17:03:01,-44176.8299410588,-3171424.36608082,-45.7980585138976,61.3114296545501
28,73,-6404.74744020456,2024-07-15 00:53:01,-43348.699074217,-3171636.90153818,-45.783047664103,61.3096831390031
29,40,-30839.3913798084,2024-07-15 01:53:01,-45052.578332744,-3171185.0057599,-45.8139383050946,61.3134013808762
30,18,-64196.2289102491,2024-07-15 06:53:01,-43251.3936973631,-3171628.64773401,-45.7812921981333,61.3097663553929
31,41,-29278.9398333979,2024-07-15 11:03:01,-43317.6441667104,-3171564.6807517,-45.7825045764056,61.3103140212083
32,30,-42174.3600805812,2024-07-15 11:23:01,-43319.7144938776,-3171634.83808714,-45.7825246629786,61.3097044980941
33,71,-6845.87944976034,2024-07-15 11:53:02,-43131.3147216711,-3171581.18836004,-45.7791350193134,61.3101927151668
34,1,-229317.922615724,2024-07-15 19:33:02,-43214.1278083552,-3171608.01322359,-45.7806241893801,61.309949966112
35,2,-225624.074456388,2024-07-15 19:43:02,-43212.0574811881,-3171612.14012567,-45.7805857798433,61.3099143712243
36,39,-30987.4819040725,2024-07-15 19:53:01,-43218.2684626894,-3171537.85588815,-45.7807162449459,61.3105587545798
37,25,-52569.1425470683,2024-07-16 15:33:01,-43694.4437111235,-3171348.01839225,-45.7893642712287,61.3121507324446
38,11,-84421.2985440666,2024-07-16 18:43:01,-44913.866412548,-3171267.5438016,-45.8114114982089,61.3127016672511
39,54,-16376.5220387365,2024-07-17 11:13:01,-42715.178961083,-3171758.64514968,-45.7715755845016,61.3087005106704
40,55,-16337.3448084173,2024-07-18 00:53:01,-43106.4707956658,-3171665.78985278,-45.7786655193645,61.3094609313207
41,12,-76707.7005667998,2024-07-18 01:03:01,-43100.2598141645,-3171663.72640173,-45.7785538458695,61.30947958426
42,79,-5086.94447878969,2024-07-18 03:53:01,-43241.0420615276,-3171556.42694753,-45.7811230142457,61.3103947790583
43,74,-6253.39711012217,2024-07-18 08:03:01,-43735.8502544656,-3171345.95494121,-45.7901127225556,61.3121636956944
44,48,-22077.5092428462,2024-07-19 04:33:01,-43918.0390451707,-3171401.66811935,-45.7933897093899,61.3116579892198
45,70,-6875.83268669235,2024-07-19 07:33:01,-43855.9292301576,-3171389.2874131,-45.7922709166077,61.3117729736221
46,28,-43725.7060163017,2024-07-19 08:13:01,-42769.0074674278,-3171746.26444343,-45.7725508005155,61.3088017303685
47,32,-39330.1677113691,2024-07-19 08:23:01,-42793.851393433,-3171750.39134551,-45.7729985045116,61.308762980455
48,17,-64540.4901734044,2024-07-19 09:23:01,-42820.7656466054,-3171729.75683509,-45.7734896373945,61.3089390246372
49,78,-5189.118736132,2024-07-19 13:43:01,-42961.5478939685,-3171698.80506945,-45.7760399084727,61.3091912895334
50,58,-10364.4274234821,2024-07-19 15:53:02,-41646.8901428571,-3171339.76458808,-45.7523803991197,61.3124616724098
51,66,-7314.26672451491,2024-07-19 21:33:01,-43768.9754891392,-3171393.41431518,-45.7906992412352,61.311747565882
52,61,-8348.86010491337,2024-07-19 22:33:01,-41721.4219208729,-3171581.18836004,-45.7536693452042,61.3103565062817
53,49,-20446.9692895577,2024-07-19 23:53:01,-43944.9532983431,-3171385.16051101,-45.7938799912309,61.311798111503
