date,sector,plume,melange
2024-07-12 10:00:00,B,2,4
2024-07-12 20:00:00,B,2,4
2024-07-13 10:00:00,B,2,4
2024-07-13 20:00:00,B,2,4
2024-07-14 10:00:00,B,2,4
2024-07-14 20:00:00,B,2,4
2024-07-15 10:00:00,B,2,4
2024-07-15 20:00:00,B,2,4
2024-07-16 10:00:00,NaN,1,4
2024-07-16 20:00:00,NaN,1,4
2024-07-17 10:00:00,NaN,1,4
2024-07-17 20:00:00,NaN,1,4
2024-07-18 10:00:00,NaN,1,4
2024-07-18 20:00:00,NaN,1,4
2024-07-19 10:00:00,C,2,4
2024-07-19 20:00:00,C,2,4
2024-07-20 10:00:00,C,2,4
2024-07-20 20:00:00,C,2,3
2024-07-21 10:00:00,C,2,4
2024-07-21 20:00:00,NaN,1,4
2024-07-22 10:00:00,C,2,4
2024-07-22 20:00:00,C,2,4
2024-07-23 10:00:00,C,2,3
2024-07-23 20:00:00,C,2,3
2024-07-24 10:00:00,C,2,2
2024-07-24 20:00:00,C,2,2
2024-07-25 10:00:00,C,2,2
2024-07-25 20:00:00,C,2,2
